Sn,CODE,Department ,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
209,IT 102,EE,5 years Integrated M Tech,H6,1995,Bangalore,India,"co-founder, CPO @ LetsVenture.com",LetsVenture.com,"I have over 20+ years experience in software industry primarily working in MNC product companies in India. Tektronix, Unisys, Capital One, Cadence design system and CDC software (earlier Pivotal CRM) are the companies I worked for. In the last assignment, I was VP Engg at CDC Software where I was managing 100-150 person Engg team for their CRM+ product portfolio. After that I co-founded LetsVenture.com, India's largest online platform for early stage startup funding. Over the last 5 years, we have helped raise funding for over 155 startup raising over 62M USD via LetsVenture. I run the Product and Engg team at LetsVenture.",,
210,IT 103,Mechanical,B.Tech,6,2005,Bengaluru,India,Solutions architect,Affairal,"12+ years of experience in building solutions based on distributed systems like Hadoop, indexing technologies like Solr, messaging technologies like Kafka and automated cloud infrastructure services using Amazon web services.",,
211,IT 104,Energy science ,Dual,4,2014,Mumbai,India,Technology Consultant,NISA Global,"Technology Consultant at NISA Global,Mumbai.Former CTO and Backend Lead at Taskbob,Mumbai.Former Software Developer in Housing.com,Mumbai.",,
212,IT 105,SJMSOM,MBA,15,2016,Mumbai,India,Senior Business Analyst,CitiusTech,Senior Business Analyst at CitiusTech(Healthcare Domain related ).,,
213,IT 106,Metallurgical Engineering,B.Tech,H4,1987,Mumbai,India,Partner & Chief Information Officer,Deloitte ,"Currently a Chief Information Officer/Partner for Deloitte (in charge of South Asia & Mauritius), with expertise in IT Strategy, Business Transformation, IT Risk Management, Information Security, Integration of IT in Mergers and Acquisitions, Shared Services, ERP implementation, Privacy and Confidentiality along with experience of leadership of information systems in varied industries such as Information Technology, Telecom, Consulting and Manufacturing.",,
214,IT 107,Electrical,B.Tech,4,1984,Mumbai,India,Consultant,(own consultancy),"Consultant in his own consultancy company with a wide experience in Instrumentation industry (Computers, networks, communication, electronics, electricals, software) in India and abroad,  at site and in office. Engineering and administrative.",,
215,IT 108,Aero,B.Tech,6,2011,Mumbai,India,Senior Product Manager,Get My Parking ,"Senior Product Manager at Get My Parking with 5+ years of experience in working with multiple innovative, high growth technology startups, building and shipping products in the B2C mobile and web space, several of them which have over 1 million downloads. Passionate about creating products that solve valid user problems while providing a first class user experience. ",,
216,IT 109,EE,Dual,2,2012,Mumbai,India,Senior Product Manager,Pharmeasy,"Entrepreneur and Product Management professional with 5+ years’ experience in designing, developing and managing web and mobile products at startups & fast moving companies. I have been leading execution of products while working with the leadership teams at various organizations. I have successfully co-founded and managed consumer internet startup, raised capital and successfully sold the business through a M&A exit.",,
217,IT 110,CS,M.Tech,8,2007,Bangalore,India,Founder,Jupiter Supply Station,"Founder at Jupiter Supply Station. Engineer for 9 years at Google, Founder, Advisor to another startup",,
218,IT 111,Electrical,M.Tech,H6,2009,Pune,India,Senior Software Engineer,Cisco Systems,Software development for mobile packet core network (Mobility gateway for 3G/4G).currently senior software engineer art Cisco systems,,
219,IT 112,Cse,M.Tech,14,2016,Tokyo,Japan,Analyst,Goldman Sachs,Analyst at Goldman Sachs.expert in python and machine learning,,
220,IT 113,Electrical,M.Tech,12,2015,Bangalore,India,Software Engineer ,Intel,"Software Engineer at Intel Corporation; Software Engineer at Ericsson, BNET R&D India",,
221,IT 114,CS and Engg,M.Tech,Eight,1984,Navi mumbai,India,SVP,Reliance Jio,Over 25 years of extensive IT experience in various technical and managerial roles. Currently having responsibility of a set of technology areas for TechMahindra. Was responsible for center of excellence in the area of Telecom Operations Support Systems. Recently I ran a special initiative in Smart Grids.,,
222,IT 115,Chemical,B.Tech,2,2007,Noida,India,Senior Content Lead,Adobe Systems India,Senior Content Lead at Adobe Systems India . He is a technical communicator and a content marketer by profession, UX advocate.Former worked as a Technical Writer in ST Microelectronics.,
223,IT 116,Electrical ,B.Tech,3,1978,Mumbai,India,Business Mentor,Self employed,"Retired. Former Program Manager - IBM India Pvt. Ltd
Program Management - Software Product Development, Software Services, IT Infrastructure Services
Vice President - Operations IBM Daksh Business Process Services Ltd.",,
224,IT 117,Civil Engineering,Dual,H7,2012,Dubai,United Arab Emirates,AVP Engineering,Wadi.com,"Currently AVP Engineer at Wadi.com.I head operations technology for Wadi.com. It means all the internal products, automations and customer interactions that happen after a sale is made. ",,
225,IT 118,Civil Engineering,B.Tech,Hostel 2,2017,Pune,India,Technical Analyst,Citicorp Services India Pvt. Ltd.,"Business Developer in HolaMed Healthcare Technologies Pvt. Ltd.,Mumbai.Former Content Developer at Toppr.com.Has worked on Frontend Development, DevOps (Build & Deployment), Blockchain related developmentand is P\pursuing CFA L2.",,
226,IT 119,EE,Dual,3,2008,Bangalore,India,Graphics Software Engineer,Intel,"9+ years of experience in device driver development for ARM/X86 based embedded systems, largely on Linux/Android. Worked on Graphics Power Conservation, USB, 2D, JPEG and system power management etc subsystems embedded SoCs. Contributed to Linux community as part of my current and previous roles.",,
227,IT 120,Electrical ,B.Tech,10,2016,Mumbai ,India ,Credit Technology Associate ,Jp Morgan ,Credit Technology Associate at Jp Morgan(working as Software development for investment bank),,
228,IT 121,Mechanical,Dual,3,2012,Mountain View,United States,Software Engineer,Google,"I studied Mech Engg (Dual Degree) at IITB, then did a stint in consulting (ATK), followed by a masters in Computational Linguistics (UW). Have been working as a software engineer since 4 years. Joined Google recently. ",,
229,IT 122,Environmental Engineering,M.Tech,9,1981,Bangalore,India,CEO,Magnificient2 Software Services & Technologies Inc,"Management, Startups, Computer Science. Total number of years is 35 in the US where I worked with NASA, IBM and University of Texas @ Austin. My company has been awarded the award for Excellence in Education by Govt. of India in 2016 and it has been selected by Silicon Valley as 1 among the 30 Entrepreneurs for 2018",,
230,IT 123,EE,B.Tech,6,1991,Bangalore,India,Country Head,Uptycs India,"Presently setting up the India Dev Center for Uptycs Inc; Previously handled Products at Innoviti, a fast-growing company in the exciting payments space that pioneered the use of technology to solve payment acceptance problems in retail space",,
231,IT 124,Comp. Sc.,M.Tech,H2,1982,Mumbai,India,"Retd. [VP(Consulting), L&T Infotech]",NMIMS ,"Retd. Adj. Faculty at NMIMS, Former Vice President and Global Head, Consulting at L&T Infotech, Former GM at Syntel. Interested in IT Consulting and Technology Management",,
232,IT 125,aerospace,M.Tech,4,1997,pune,India,sr software consultant,PTC,"Sr. software consultant at PTC.Has worked on software programming in core JAVA, javascript,ProE and windchill.",,
233,IT 126,CSE,M.Tech,"H4, H12",2007,Ahmedabad,India,Founder,Fluvina Technologies,Founder and CEO of Fluvina Technologies(a software development comapny providing services in Health sector).Aslo working as a technology consultant in Jaimedica Pvt Ltd.Former executive director at Effia technologies,,
234,IT 127,Aerospace,B.Tech,4 and 13,2006,pune,india,CTO,Geektree technologies pvt ltd ,"more than 10 years experience in building architecturally complex enterprise solutions as well as open source products; worked with both product firms like SAP Labs and services firms like Talentica Software, Smartek Consultancy.",,
235,IT 128,Mechanical,B.Tech,H2,1990,Bengaluru,India,Vice president,Cambium networks,Vice president of Cambium networks with a working in Computer software and networking equipment.,,
236,IT 129,Sjmsom,Mba,5,2002,DAK. KANNADA,India,Principal consultant,Infosys,"SCM consulting,13+ years of experience of working in infosys",,
237,IT 130,Industrial Engineering & Operations Research,M.Tech,H7,1994,Chennai,India,Consultant,Tata Consultancy Services Limited,"Consultant in Tata Consultancy Services.Former Systems Engineer in Card Systems Private Limited, Nucleus Group.Has worked on Information Technology,Project and Process Management.Interested in Mathematics, Physics, Economics and the Theory of Constraints.",,
238,IT 131,Civil,M.Tech,6,1995,Gurgaon,India,CTO,Legitquest.com,"Chief Technology Officer at LegitQuest - 1-Click legal research,Delhi.Former Chief Executive Officer in Custvantage Consulting Services,Gurgaon.Former CEO/CPO of UrbanHub Technology Solutions,Gurgaon.Is mainly interested in Startup and SaaS B2B Products.",,
239,IT 132,Chemical Engineering,Dual,H7,1998,Bengaluru,India,Technical Program Manager,Dell,"Around 18 years of experience providing project management, operations management, analysis and strategic development solutions in diverse business settings, been the Program Manager at Motorola India Pvt. Ltd",,
240,IT 133,Metallurgy,B.Tech,H5,1993,Mumbai,India,Vice President - Apps,Mphasis Ltd,Vice President - Apps in Mphasis Ltd.Has 25+ years in IT industry working on Technology applications in Banking and Finance area.,,
241,IT 134,Aerospace Engineering,M.Tech,"H6, H13",2012,SINGAPORE,Singapore,"Assistant Vice-President, Regional Project Manager",DBS Bank Ltd,"My work is predominantly around Software Development Lifecycle (SDLC) as a Project Manager and Business Analyst. I am involved in managing, running and executing strategic initiatives for the Retail Banking group across the 6 regions of the bank within Asia. I cover all aspects of SDLC from user-design to financials to deploying the releases to production for the end customer. ",,
242,IT 135,physics,MSc.,H5,1991,chennai,India,PRACTICE DIRECTOR,hcl,PRACTICE DIRECTOR at HCL-Run the banking practice for HCL,,
243,IT 136,Eneregy Engineering,M.Tech,1,2005,Pune,India,Associate Vice-President,Barclays Technology Center India,"AVP / Technical Delivery Manager at Barclays,Mumbai.Has worked in Software Solutions at GE Energy.Former Business Analysis and Finance and Web - Analytics lead at Tech Mahindra and former member of Sales and Marketing Group,Rolta India Limited.Has experience in leading Team, Strategy and roadmap management, Delivery of automation solution on Big data Hadoop, Machine Learning solutions, and Al solutions delivery.",,
244,IT 137,Computer Science,M.Tech,H-9,1987,BANGALORE,India,Founding Director,Ubiqare Health Pvt. Ltd.,"Extensive experience as R&D Technologist and Executive in the IT infrastructure domain with focus on systems software products—enterprise class storage/server systems, shared virtualised infrastructure (cloud) vm & containers, and storage management. 

Professional experience with right balance between technology, engineering, business and people aspects. 

Held leadership positions in start-up, small and large companies with technical, operational and strategic roles. Skilled in all aspect of product development & engineering, architectural development, system & processes and managing innovations. 

Proven track record of building products & architectures, developing roadmaps, leading large R&D/engineering teams and achieving timely delivery. have worked with large global team.

Currently founder and mentor for technology Healthcare startups. ",,
245,IT 138,CSE,PhD,"H6, H12",2010,Montreal,Canada,Entrepreneur,TandemLaunch,"Entrepreneur at TandemLaunch. CSE, Computer Graphics, Computer Vision, Graduate Studies. Worked as Senior Engineer at Samsung Electronics.",,
246,IT 139,CTARA,M.Tech,12,2016Q,PUNE,India,Associate Software Developer,Flextrade,"Experienced Associate Software Developer with a demonstrated history of working in the financial services industry, particularly FIX onboarding. Skilled in C, C++, assembly languages with domain knowledge of XML, Javascript, Arbitrage, and Stock Market.",,
247,MC 101,CSE,B.Tech,9,2012,Mumbai,India,Associatw,McKinsey & Co,Associate at Mckinsey&Co,,
248,MC 102,Mechanical Engineering,B.Tech,4,2012,Delhi,India,Consultant,Praxis Global Alliance,"Consultant at Praxis Global Alliance, Experience of Management Consulting and Strategy in Bain & Co for 4 years,  Co-founder of two tech startups - 2 years ",,
249,MC 103,Engineering Physics,B.Tech,H3,1995,MUMBAI,India,Joint General Manager - Corporate Strategy,Larsen and Toubro Ltd,"In Corporate Strategy at Larsen & Toubro Limited,Mumbai.Former Principal (Senior Manager) at Accenture.Former Manager- Marketing Performance & Strategy and former Principal- Corporate Real Estateat American Airlines.Main area of work is Strategy and Management Consulting. Making Strategic and Business Plans, Competitor Analysis, Financial Analysis & Modelling, Go-to-Market Strategy.",,
250,MC 104,Chemical,B.Tech,H9,2003,Pune,India,Partner,"Incentius, Aurochs Software","Co-founder & Director of Operations at Aurochs Software,Pune.Partner in Incentius,Pune.Former Manager and Business Consultant at ZS Associates,Pune.14+ years of varied experience working with several global consulting firms primarily in the sales & marketing domain for pharmaceutical clients. ",,
251,MC 105,Civil,B.Tech,7,2014,Mumbai,India,Senior Consultant,CRISIL,"Senior Consultant at CRISIL.Working in Strategic Advisory in Infrastructure Sector - dealing with World bank, ADB, national and international government organisation to propel growth and development of the region.",,
252,MC 106,Electrical,Dual,5,2010,Singapore,Singapore,Project leader,Boston consulting group (BCG),"Project leader at Boston consulting group (BCG). Experience in strategy (BCG), investments (IFC), banking (JP Morgan), and Policy (Office of Mr. NarendraModi)",,
253,MC 107,Chemical Engg,B.Tech,7,1974,Mumbai,India,Founder Director,3rd Eye Solutions,"strategic consulting, identification of business partners, finalising jv agreements, supporting start up companies in identifying bottlenecks and enhancing growth prospects; been the Director of COVACSIS Technologies Pvt Ltd",,
254,MC 108,Chemical,Dual,H3,2003,Mumbai,India,Cheif Consulting Officers,MBA Crystalball,Cheif Consulting Officer at MBA crystalball,,
255,MC 109,Civil,B.Tech,3,2016,Mumbai,India,Analyst,Matrix Partners,"Investment Professional(evaluate early stage companies, do deal-diligence and help portfolio companies) in Matrix Partners India,Mumbai.Former Analyst in A.T. Kearney,Mumbai. Has done Supply Chain Management Intern in Flipkart,Bengaluru.",,
256,MC 110,Energy and Mechanical,M.Tech,4,2006,Mumbai,India,Senior Director,Indian Navy,"Experienced Senior Technical Director with a demonstrated history of working across all spectrum of Marine, Shipping, Procurement , Logistics, EPC and Energy industry. 
Domain expertise is in Marine Engineering, Techno Commercial evaluations , Engineering projects planning, execution, commissioning and procurement",,
257,MC 111,Mechanical,M. Tech and MOM from SJMSOM,6,Mechanical Engineering,Mumbai,India,GM,Schneider Electric,"Business Development Cooling - East Asia and Pacific,APC by Schneider Electric,Mumbai.Former General Manager - Product Management & Application Engineering at Uniflair India Pvt. Ltd. Former Sr. Manager at Tecumseh Products Company.",,
258,MC 112,Chemical engineering,B.Tech,H-5,2011,Bangalore,India,Senior Consultant,KPMG Advisory Services Pvt. Ltd.,"I have 3 years of experience in a chemical manufacturing company where I was managing all production related activities and later worked with the procurement team for a breif while before going for my MBA.
Post MBA I have been working with the management consulting practice of KPMG and it has been 2 years here.",,
259,MC 113,Som,MBA,H12,2014,Bangalore,India,Sr. Associate,PwC,"Currently Senior Associate Advisory at PwC Consulting. CMBA (Operations) from IIT Bombay - SJMSOM and BTech (Mechanical) with 6.5+ Years cross-functional experience in Supply Chain Management. Worked in various roles such as Strategic Sourcing, Process Excellence, and PLM ERP functional consultant. Worked with Clients ranging from Industrial Products, Pharmaceuticals and Telecom from US and Europe.",,
260,MC 114,Energy Engineering ,Dual,H7,2014,Singapore,Singapore,Senior Consultant ,Ernst and Young ,"Consulting professional with a strong focus on achieving results. Demonstrated history of working across different geographies to provide change management, operations transformation, program management and process improvement solutions. Expertise in manufacturing excellence through Integrated Work Systems.",,
261,MC 115,Chemical,B.Tech,Eight,1991,Mumbai,India,Director,Healthcell services private limited,"Director at Healthcell services private limited. Expert in Client management, business development, operations, process design. prior management consultant with experience in Deloitte Consulting and PepsiCo. Abhijit holds a BTech from IIT Bombay, an MS in Process Control from Arizona State University, and a PGDBM from IIM Bangalore.",,
262,MC 116,Meta,B.Tech,H5,2011,Mumbai,India,Founder-Director,AdMat Innovations,"Applied chemistry entrepreneur (with 4 years experience), has founded Admat Innovations, which develops nanotechnology based products. Has 3 years experience as management consultant",,
263,MC 117,Mechanical engineering,M.Tech,H1,2006,Chennai,India,Lead Engineer,Mahindra and Mahindra Ltd.,"12 years of cross-functional experience in various phases of Engineering Design, Product Development, and Project Execution while working for General Motors, Fiat Chrysler, Bentley Motors and Mahindra & Mahindra. Currently work on Automotive Body design & Development, Sheet metal Engineering/forming, Advanced Technology for lightweighting Body & Exterior.",,
264,MC 118,Aerospace,B.Tech,6,2010,Mumbai,India,Manager - Strategy,Invoicemart,"5+ years of experience across financial services and consulting, across functions like business development, business strategy, marketing and product management. Fin-tech enthusiast. Currently using my experience in a cross functional role to grow Invoicemart - market leader in the TReDS ecosystem.",,
265,MC 119,Electrical Engineering,Dual,H4,2006,Dubai,United Arab Emirates,Consulting Manager,Accenture,"Engagement Manager and former consultant in Accenture,Dubai.Former MBA Candidate at Indian School of Business.Former Rig Manager - Assets at Jagson International,Mumbai.Majorly worked as a consultant in Upstream Energy Space",,
266,MC 120,Civil Engg,B.Tech,4,2012,Mumbai,India,Consultant,Bain and Co,Management consultant at Bain and Co.,,
267,MC 121,Metallurgical engg,B.Tech,H 7 For two years and H 8 for 3,1973,Mumbai,India,CEO,Vainateya Software Consultancy Pvt Ltd,CEO at Vainateya Software Consultancy Pvt Ltd. I am now heading a network of senior professionals working in area of manufacturing and supply chain operations.,,
268,MC 122,Electrical,B.Tech,9,2014,Delhi,India,Junior Associate,McKinsey & Company,Junior Associate at McKinsey and company.Been to IIMA,,
269,MC 123,Mech,B.Tech,3,1976,Pune,India,"Consultant, Advisor to Indian Machine Tool Manufacturers Association",Indian Machine Tool Manufacturers Association,"I advise IMTMA on their training programs as well as their Mega Events like Productivity Summit, Machine Tool Summit; Set up green field manufacturing plants in the area of metal cutting. Consulted large engineering companies for improving their productivity & quality",,
270,MC 124,Chemical Engg,B.Tech,4,2006,Mumbai,India,AVP,IDFC Alternatives Limited,Primarily works in management consulting and investment management. Previously engaged in management of projects that dealt with environmental aspects at enterprise level and cluster level in SENES Consultants as environmental specialist,,
271,MC 125,Meta,B.Tech,9,1991,Rourkela ,India ,AGM,Steel Authority of India Ltd ,"Materials Management, Sourcing, Supply Chain Mgmt,SAP-ERP-MM",,
272,MC 126,SJMSOM,MoM,H11,2007,Mumbai,India,N/A,N/A,Founder and Promoter of Metalex Automation.Former Manager - ERP Advisory KPMG Singapore. Former SAP Consultant in Deloitte India.,,
273,MC 127,chemical,B.Tech,5,2010,bengaluru,india,Marketing & Consulting,Thoucentric,"Currently working with Thoucentric & is on a consulting assignment with a global FMCG giant helping their Supply chain & Finance team on a key global project. Over 6 years of experience in strategy formulation, change management, in-house consulting, marketing, business development, investment analysis, business model creation, social business (creating enterprise within enterprise), communication activities, portfolio mapping, sustainability, and building networks. ",,
274,MC 128,InDustrial Management (Now Shailesh J Mehta School of Management),M.Tech,H4,1990,Pune,India,Advisor (Independent Consultant),Independent Consultant,"Techno Commercial Roles in IT and Banking Industry, Currently, Advisor at On Demand Agility with experience of being the Vice President and the Director of Credit Suisse",,
275,MC 129,Electrical Engineering ,Dual,7,2013,Mumbai,India,Product Manager,PaySense,Product Manager at Paysense. Early stage FIntech startup. Worked as Consultant at Booz and Company.,,
276,MC 130,Metallurgical Engg,B.Tech,H5,1977,Pune,India,Executive Director,Indus Business Advisors LLP,"Professional Experience : Over 30 years; including 16 years with MNCs as Head of Finance, Commercial functions, HR, Operations, IT and Corporate Affairs. Last 16 years in Automotive Industry – OEM & Auto-components (MNC environment). All my past professional engagements have involved utilizing and continuously enriching the width and depth of my work experience gained in some or all of the functional areas mentioned above. Today, this has placed me in an ideal position to co-found and run an independent consulting firm which is well positioned to advise overseas clients on setting-up, navigating & entrenching their businesses in India, by utilising my past experience with leading MNCs as well as my large network of professionals, from a variety of industries and sectors. Worked with Business Strategy, Financial Management, Financial Planning & Control, Product Costing, Lean Operations, Start-up Funding, HR Management",,
277,MC 131,Chemical Engineering ,B.Tech,Four ,1992,Mumbai,India,Partner,Inspright,"Partner at Inspright.Business coach to SMEs and family managed businesses, Strategic and OD consulting, Leadership coaching, HR functional coaching, Talent management ",,
278,MC 132,Civil,Dual,3,2008,Mumbai,USA,Manager,Deloitte,"Manager at Deloitte Consulting. Extensive experience in assisting clients with assessing, selecting and implementing complex business applications, designing Pricing Strategies, conducting TPA assessments, providing execution support, and measurement & reporting. He also has experience in market entry and go-to-market strategies, as well as program management operations for telecom deployments and SaaS implementations.",,
279,MC 133,Civil,B.Tech,7,2007,New Delhi,India,Principal,Analysys Mason,Principal at Analysys Mason.Working as Strategy consultant and investment advisory to telecom companies and financial institutions.Former worked as bussiness analyst inn Deloitte Consulting.,,
280,MC 134,Mechanical,B.Tech,2,2002,Maheshwar,India,Partner,Fern partners,Partner at Fern Partners,Financial advisory,
281,MC 135,SJMSOM,Master of Management,12,2010,Bengaluru,India,Program Manager,Ernst and Young,Program Manager at Ernst and Young.former PM in IBM.Worked as a consultant in Feedback Infra.,,
282,MC 136,SOM,Master of Management,H13,2004,Hyderabad,India,Senior Manager,Deloitte,"I have more than 6 years of IT consulting experience in customer facing roles primarily as supply chain consultant in various industry verticals like high tech discrete manufacturing, steel, retail and technology. My areas of interest include Supply Chain Planning, Order Fulfillment and Pricing, Procure to Pay process management and Retail Supply Chain Management.",,
283,MC 137,Chemical Engg,M.Tech,4  and 2,"B Tech: 1972, M Tech: 1074",Gurgaon,India,Consultant ,Self Employed,"Self Employed Consultant. Management Strategy, Business Planning, Ion exchange Membrane Technology. Worked at E. I. Dupont, Tata Consulting Engineers.",,
284,MC 138,SOM,M.Mgmt.,H-13,2007,Mumbai,India,Operations Director-South Asia,Cochlear,"Heading Operations function at Cochlear, including Supply Chain, Customer Service, Quality, Regulatory and Process Improvement,was supply chain manager at Marico Ltd.",,
285,MC 139,SJM SOM,MOM,9,1999,MUMBAI,INDIA,HEAD - SUPPLY CHAIN ANALYTICS & CONTINUOUS IMPROVEMENT,CIPLA LTD,"Head - Global Supply Chain Analytics & Continuous Improvement in Cipla,Mumbai.Former Group Head - Supply Chain Analytics in Tata Motors.Former Managing Consultant - Strategy & Transformation in IBM Global Business Services",,
286,MC 140,Mech,B.Tech,8,2006,Washington DC,USA,Senior Manager,Deloitte Consulting,"Senior Manager at Deloitte Consulting. As a management consultant, focused the work around improving supply chain efficiencies of big and small companies by designing business processes and implementing technology solutions along with necessary organization change management activities. Have led business teams on a day-to-day basis and worked closely with technology teams on aggressive timelines across all phases of technology implementation and met clients’ business requirements.",,
287,MC 141,"Quality Engineering, Six Sigma",M.Tech,6,2002,Pune,India,General Manager,John Deere India Pvt Ltd,"Working as a General Manager in John Deere India Pvt ltd. with specialities in Warranty Analytics, Quality Engineering, Six Sigma, Business Excellence",,
288,MC 142,MEMS,B.Tech,4,2012,New York,United States,Marketing specialist,Honeywell,Marketing specialis at honeywell.experience in consulting and manufacturing of B2B,,
289,MG 101,Aerospace,B.Tech,7,1996,Pune,India,VP - Biz Dev,Talentica Software,"MBA Graduate from IIM,Ahmedabad.Vice President - Business Development at Talentica Software,Pune.Former Business Development Manager at CCR Technology,Pune.Former Sales Manager at IBM,Mumbai.",,
290,MG 102,Chemical,B.Tech,3,2006,Mumbai,India,Head - Business Development,Aarti Industries Limited,"I have 10 years of experience in strategy roles across various industries. In my current role, I am responsible for all the new business development activities of the organization. ",,
291,MG 103,Electrical,M.Tech,1,1971,Hyderabad ,India,Senior consultant IT and telecom,HCL Technologies,"Independent Consultant in IT and Telecom space. Prior to working as a consultant, Mr. Ramadas served as Chief Technology Officer and Vice President at HCL Technologies BPO Services. Responsible for strategic decisions in setting up and managing large data and voice global networks",,
292,MG 104,Chemical ,B.Tech,4,1998,Delhi NCR,India,CEO,Sangam Ventures,Founder and CEO of Sangam Ventures-Sangam Ventures is a seed and early stage venture fund that invests to improve access to sustainable energy and resource productivity solutions for the underserved in India that can lead to inclusive development and creation of communities that are resilient to climate change,,
293,MG 105,Metallurgical,B.Tech,6,1977,Bangalore,India,Managing Director,Solar Energizers p ltd,Renewable Energy. Have established a unit engaged in the design manufacturing installation and after sales service of solar thermal/power equipments.Have 25 years of working experience,,
294,MG 106,MEMS,Dual,8,2012,Mumbai,India,Manager - Operations,Uber,manager of operations at uber,,
295,MG 107,Electrical,Dual,13,2011,Amravati,India,Program Manager,Tata Administrative Services,Program Manager at Tata Administrative Services for Design and Development of a UAV program.Interested in management.,,
296,MG 108,MEMS,B.Tech,H4,2014,Bangalore,India,Business head,NoBroker.com,"Business Head at NoBroker. I have a strong business acumen to effectively lead people, analyze business situations, and develop longterm and short-term strategies. I love reading and researching the trends across the businesses withrespect to the products and technology that I work with.",,
297,MG 109,Electrical Engineering,Dual,7,1993,JAMSHEDPUR,India,Senior General Manager (Real Estate & HR/IR),Jamshedpur Utilities & Services Co. (JUSCO),Senior General Manager (Real Estate & HR/IR) at Jamshedpur Utilities & Services Co. (JUSCO).Has initial work experience in Electrical Maintenance and Operations of HT substations.,,
298,MG 110,CHEMICAL ENGINEERING,B.Tech,7,1985,MUMBAI,India,"Former CEO, currently taking a break",NA,"Former CEO & MD at various Indian companies/subsidiaries of MNCs, including Rohm and Haas India, Dow Chemical India and ACC Limited",,
299,MG 111,Electrical Engineering,Dual,13,2012,Hyderabad,India,Product Supply Manager,Procter & Gamble,"Project Manager responsible for building a new production plant (facility, equipment) from feasibility stage to start of production. Responsible as Cross-functional Technical Readiness Leader for Capacity expansions and Product Initiatives",,
300,MG 112,Chemical Engineering ,B.Tech,3,2017,Kolkata,India,"Second Year, MBA",IIM Calcutta ,Currently pursuing MBA from IIM Calcutta.Has done internship at Johnson and Johnson in Sales and Marketing Role and GIST Advisory Pvt. Ltd.,,
301,MG 113,Aerospace,B.Tech,13,2008,Mumbai,India,Senior Manager - Consulting,Manthan,"Leading consulting engagement at India's biggest retailer and working with various brands assisting in business growth and operational efficiencies; with 9 years of professional experience in Retail, Entrepreneurship and Project Management",,
302,MG 114,SJMSOM,M.Mgmt.,12,2016,Mumbai,India,Senior Manager,Tata Motors Limited,Senior manager at Tata motors limited in IT stratergy and sloutions,,
303,MG 115,Civil ,B.Tech,4,2006,Bangalore,India,"Vice President-Sales, Marketing & Digital",Zyxware Technologies,"Vice President-Sales, Marketing & Digital at Zyxware Technologies. Specialties: Marketing Strategy, Branding,Promotions, New product development, Digital Marketing, Marketing Processes, Digital Sales and Acquisition, Engagement Management, Account Management, Strategic Business Research, Market Opportunity Assessment, Talent Management, Talent Acquisition, Business Leadership",,
304,MG 116,Civil,B.Tech,4,2014,Mumbai,India,Founder @Womaniya,Womaniya: Bhartiya Nari Ki Duniya,"Founder at Womaniya: Bhartiya Nari ki Duniya. Knowledge in analytics, business development and overall company management.",,
305,MG 117,Chemical Engineering,B.Tech,4,2003,Singapore,Singapore,"Head of Marketing, Global Emerging Markets, YouTube",Google,"FMCG - I was a Product Manager at P&G
Consulting - I was an Engagement Manager at McKinsey
Marketing, Technology, Media - I am the Head of Marketing at YouTube 
Thinking about an MBA - I did mine at Harvard Business School",,
306,MG 118,IEOR,M.Tech,H-7,1990,New Delhi,India,Deputy General  Manager,Engineers India Limited,Worked with Flipkart in Social Media Marketing during autumn internship at SPJIMR.,,
307,MG 119,Civil Engineering,M.Tech,3,2016,Mumbai,India,Associate Product Manager,Jarvis Technologies and Political Consulting Pvt Ltd. ,"Associate Program Manager at Jarvis Technology and Strategy Consulting,Mumbai.Working as a Product Manager on mobile apps which aim at solving issues for political parties using technology.Former Junior Trader at Flow Traders,Amsterdam.",,
308,MG 120,Chemical,B.Tech,6,1992,Mumbai,India,Founder & CEO,A2A Training & Mentoring,"Founder and CEO of A2A Training & Mentoring(Mentoring students, startups.) also working as Growth Advisor in kpoint Technologies.was a Program Director of India Tech Vision 2035 project.",,
309,MG 121,Chemical Engineering,Dual,10,2013,Mumbai,India,Product Manager,RoadPiper Technologies Pvt Ltd,"Experienced Product Manager with a demonstrated history of working in the trucking industry. Skilled in Project Management, Product Design, Microsoft Office, Product Documentation, User Experience and User Interface Design.",,
310,MG 122,Electrical,B.Tech,FOUR,1978,Bangalore,India,Retired. Director Integrated Operations,IBM,"Retired. Director Integrated Operations at IBM,Bangalore.Major field of interest is General Management, Service Delivery, Operations and HR.",,
311,MG 123,Chemical,B.Tech,2,2012,New York,United States,Product Manager Intern / MBA Candidate,Google / Columbia University,"Working as a Product Manager for close to 4 years. Currently doing my MBA at Columbia and working at Google over the summer as a PM Intern in the ads team, also worked as a PM in housing.com, Browserstac. Was an associate consultant at Ernst & Young.",,
312,MG 124,Chemical,Dual,13,2011,Dubai,United Arab Emirates,Investment Advisor,Joulon,"Investment Advisor at Joulon. A resourceful, quick-thinking and highly efficient management professional with 5+ years of work experience. Throughout my professional and academic career, I have handled positions of responsibilites with utmost care and diligence while exceeding expectations of the senior management. 
I am a self-motivated team player with strong communication, analytical, leadership, relationship management and problem solving skills.",,
